Year,City,Sport,Discipline,Athlete,Gender,Event,Medal,Country,Code,Population,GDP per Capita,Season,Agility,Analytical Aptitude,Durability,Endurance,Flexibility,Hand-Eye Coordination,Nerve,Power,Rank,Speed,Strength,Total
"1896-01-01,Athens,Shooting,Shooting,""NIELSEN, Holger"",Men,25M Rapid Fire Pistol (60 Shots),Bronze,Denmark,DEN,5676002.0,51989.2934712354,summer,1.13,4.0,1.88,2.25,1.75,6.75,2.38,1.38,58.0,0.88,2.5,24.875"
"1896-01-01,Athens,Shooting,Shooting,""PHRANGOUDIS, Joannis"",Men,25M Rapid Fire Pistol (60 Shots),Gold,Greece,GRE,10823732.0,18002.230577668797,summer,1.13,4.0,1.88,2.25,1.75,6.75,2.38,1.38,58.0,0.88,2.5,24.875"
"1896-01-01,Athens,Shooting,Shooting,""ORPHANIDIS, Georgios"",Men,25M Rapid Fire Pistol (60 Shots),Silver,Greece,GRE,10823732.0,18002.230577668797,summer,1.13,4.0,1.88,2.25,1.75,6.75,2.38,1.38,58.0,0.88,2.5,24.875"
"1896-01-01,Athens,Shooting,Shooting,""PHRANGOUDIS, Joannis"",Men,50M Pistol (60 Shots),Bronze,Greece,GRE,10823732.0,18002.230577668797,summer,1.13,4.0,1.88,2.25,1.75,6.75,2.38,1.38,58.0,0.88,2.5,24.875"
"1896-01-01,Athens,Shooting,Shooting,""PAINE, Sumner"",Men,50M Pistol (60 Shots),Gold,United States,USA,321418820.0,56115.7184261955,summer,1.13,4.0,1.88,2.25,1.75,6.75,2.38,1.38,58.0,0.88,2.5,24.875"
"1896-01-01,Athens,Shooting,Shooting,""NIELSEN, Holger"",Men,50M Pistol (60 Shots),Silver,Denmark,DEN,5676002.0,51989.2934712354,summer,1.13,4.0,1.88,2.25,1.75,6.75,2.38,1.38,58.0,0.88,2.5,24.875"
"1896-01-01,Athens,Shooting,Shooting,""TRIKUPIS, Nicolaos"",Men,""Army Rifle, 200M"",Bronze,Greece,GRE,10823732.0,18002.230577668797,summer,1.13,4.0,1.88,2.25,1.75,6.75,2.38,1.38,58.0,0.88,2.5,24.875"
"1896-01-01,Athens,Shooting,Shooting,""KARASEVDAS, Pantelis"",Men,""Army Rifle, 200M"",Gold,Greece,GRE,10823732.0,18002.230577668797,summer,1.13,4.0,1.88,2.25,1.75,6.75,2.38,1.38,58.0,0.88,2.5,24.875"
"1896-01-01,Athens,Shooting,Shooting,""PAVLIDIS, Pavlos"",Men,""Army Rifle, 200M"",Silver,Greece,GRE,10823732.0,18002.230577668797,summer,1.13,4.0,1.88,2.25,1.75,6.75,2.38,1.38,58.0,0.88,2.5,24.875"
"1896-01-01,Athens,Shooting,Shooting,""JENSEN, Viggo"",Men,""Army Rifle, 300M"",Bronze,Denmark,DEN,5676002.0,51989.2934712354,summer,1.13,4.0,1.88,2.25,1.75,6.75,2.38,1.38,58.0,0.88,2.5,24.875"
